Dataset Name,Best Fitness,Solution Generation,Total Generations,Total Time (s),Time Per Generation (s)
berlin52,71,23,100,4.59972,0.0459972
Dataset Name,Best Fitness,Solution Generation,Total Generations,Total Time (s),Time Per Generation (s)
berlin52,71,20,100,1.98856,0.0198856
Dataset Name,Best Fitness,Solution Generation,Total Generations,Total Time (s),Time Per Generation (s)
gr17,7035,1942,2000,208.625,0.104313
gr21,23416,1536,2000,240.712,0.120356
gr24,6422,1824,2000,267.399,0.1337
fri26,5061,648,2000,285.562,0.142781
bays29,12953,1980,2000,313.372,0.156686
gr48,57191,843,2000,525.08,0.26254
eil51,4842.84,996,2000,564.925,0.282462
berlin52,84771.9,183,2000,577.961,0.288981
eil76,9036.77,1928,2000,933.926,0.466963
eil101,13629.5,1589,2000,1402.44,0.701218
Dataset Name,Best Fitness,Solution Generation,Total Generations,Total Time (s),Time Per Generation (s)
gr17,7022,537,10000,215.48,0.021548
gr21,28024,104,10000,198.636,0.0198636
gr24,6621,522,10000,279.847,0.0279847
fri26,4981,1668,10000,470.071,0.0470071
bays29,11964,1339,10000,465.976,0.0465976
gr48,55570,652,10000,609.968,0.0609968
eil51,4596.37,1044,10000,786.138,0.0786138
berlin52,85533.5,267,10000,565.576,0.0565576
