problem_name,problem_type,batch,timestamp,num_cities,num_jobs,population_size,max_generations,stagnation_limit,mode,mutation_rate,tournament_size,diversity_percent,success,initial_fitness,final_fitness,improvement_percent,solution_generation,total_generations,elapsed_time_seconds,avg_time_per_generation,crossover_method,crossover_type,early_stopped,final_stagnation,error
TSPJ_1M,Medium,Batch_01,2025-12-08T05:34:20.530675,422,422,200,1000,100,0,0.3,5,20,True,31637.0,17177.0,45.705977178619975,732,833,3.8192663192749023,0.003469518124999999,Batch (Auto EAX/OX),OX (Order Crossover),True,68,
TSPJ_2M,Medium,Batch_01,2025-12-08T05:34:23.595518,405,405,200,1000,100,0,0.3,5,20,True,32761.0,19028.0,41.91874484905833,562,663,3.023559331893921,0.0033253880664652585,Batch (Auto EAX/OX),OX (Order Crossover),True,38,
TSPJ_3M,Medium,Batch_01,2025-12-08T05:34:28.178376,453,453,200,1000,100,0,0.3,5,20,True,35653.0,17382.0,51.24673940481866,999,1000,4.543794393539429,0.003691749809999998,Batch (Auto EAX/OX),OX (Order Crossover),False,26,
TSPJ_4M,Medium,Batch_01,2025-12-08T05:34:32.526728,421,421,200,1000,100,0,0.3,5,20,True,33905.0,18453.0,45.5743990561864,889,990,4.307574033737183,0.003486751122345805,Batch (Auto EAX/OX),OX (Order Crossover),True,11,
TSPJ_5M,Medium,Batch_01,2025-12-08T05:34:37.079740,498,498,200,1000,100,0,0.3,5,20,True,38690.0,20936.0,45.88782631170845,792,893,4.502552270889282,0.004078974910313896,Batch (Auto EAX/OX),OX (Order Crossover),True,8,
TSPJ_6M,Medium,Batch_01,2025-12-08T05:34:40.506783,416,416,200,1000,100,0,0.3,5,20,True,32049.0,18044.0,43.69871134824799,643,744,3.3959083557128906,0.0034550900403768525,Batch (Auto EAX/OX),OX (Order Crossover),True,57,
TSPJ_7M,Medium,Batch_01,2025-12-08T05:34:44.582997,470,470,200,1000,100,0,0.3,5,20,True,36185.0,20238.0,44.07074754732624,736,837,4.034838914871216,0.003799104186602874,Batch (Auto EAX/OX),OX (Order Crossover),True,64,
TSPJ_8M,Medium,Batch_01,2025-12-08T05:34:49.075172,495,495,200,1000,100,0,0.3,5,20,True,37087.0,21814.0,41.18154609431877,782,883,4.440256834030151,0.004046617448979593,Batch (Auto EAX/OX),OX (Order Crossover),True,18,
TSPJ_9M,Medium,Batch_01,2025-12-08T05:34:52.231290,418,418,200,1000,100,0,0.3,5,20,True,31487.0,18098.0,42.522310794931236,562,663,3.1209559440612793,0.0034518577039274944,Batch (Auto EAX/OX),OX (Order Crossover),True,38,
TSPJ_10M,Medium,Batch_01,2025-12-08T05:34:56.713738,475,475,200,1000,100,0,0.3,5,20,True,38309.0,18708.0,51.165522462084624,839,940,4.443938732147217,0.003834681490947817,Batch (Auto EAX/OX),OX (Order Crossover),True,61,
