problem_name,problem_type,batch,timestamp,num_cities,num_jobs,population_size,max_generations,stagnation_limit,mode,mutation_rate,tournament_size,diversity_percent,success,initial_fitness,final_fitness,improvement_percent,solution_generation,total_generations,elapsed_time_seconds,avg_time_per_generation,crossover_method,crossover_type,early_stopped,final_stagnation,error
TSPJ_1M,Medium,Batch_01,2025-12-08T02:35:50.468451,422,422,1000,6000,500,0,0.3,5,20,True,31465.0,12069.0,61.64309550293977,4169,4670,116.55433058738708,0.024643175883486815,Batch (Auto EAX/OX),OX (Order Crossover),True,431,
TSPJ_2M,Medium,Batch_01,2025-12-08T02:37:44.299410,405,405,1000,6000,500,0,0.3,5,20,True,33192.0,12894.0,61.15328994938539,4129,4630,113.7441611289978,0.024276795096133046,Batch (Auto EAX/OX),OX (Order Crossover),True,471,
TSPJ_3M,Medium,Batch_01,2025-12-08T02:40:24.314375,453,453,1000,6000,500,0,0.3,5,20,True,34999.0,13491.0,61.45318437669648,5489,5990,159.9378445148468,0.026436711905159394,Batch (Auto EAX/OX),OX (Order Crossover),True,411,
