problem_name,problem_type,batch,timestamp,num_cities,num_jobs,population_size,max_generations,stagnation_limit,mode,mutation_rate,tournament_size,diversity_percent,success,initial_fitness,final_fitness,improvement_percent,solution_generation,total_generations,elapsed_time_seconds,avg_time_per_generation,crossover_method,crossover_type,early_stopped,final_stagnation,error
TSPJ_1M,Medium,Batch_01,2025-12-07T18:01:03.197828,422,422,200,3000,50,0,0.3,5,20,True,31924.0,18357.0,42.49780729231926,604,655,4.557708263397217,0.005571286223241592,Batch (Auto EAX/OX),OX (Order Crossover),True,11,
TSPJ_2M,Medium,Batch_01,2025-12-07T18:01:08.432607,405,405,200,3000,50,0,0.3,5,20,True,33176.0,17127.0,48.37533156498674,781,832,5.201241493225098,0.0052837643321299674,Batch (Auto EAX/OX),OX (Order Crossover),True,19,
TSPJ_3M,Medium,Batch_01,2025-12-07T18:01:14.730447,453,453,200,3000,50,0,0.3,5,20,True,35194.0,18440.0,47.60470534750241,860,911,6.2542407512664795,0.005952496054945048,Batch (Auto EAX/OX),OX (Order Crossover),True,40,
TSPJ_4M,Medium,Batch_01,2025-12-07T18:01:19.976152,421,421,200,3000,50,0,0.3,5,20,True,34124.0,19298.0,43.44742703082874,745,796,5.213988780975342,0.005540192339622644,Batch (Auto EAX/OX),OX (Order Crossover),True,4,
TSPJ_5M,Medium,Batch_01,2025-12-07T18:01:26.224285,498,498,200,3000,50,0,0.3,5,20,True,38664.0,21340.0,44.80653838195738,795,846,6.209354877471924,0.006354435254437862,Batch (Auto EAX/OX),OX (Order Crossover),True,5,
TSPJ_6M,Medium,Batch_01,2025-12-07T18:01:31.523733,416,416,200,3000,50,0,0.3,5,20,True,31435.0,16967.0,46.0251312231589,778,829,5.261861562728882,0.005330245193236714,Batch (Auto EAX/OX),OX (Order Crossover),True,22,
TSPJ_7M,Medium,Batch_01,2025-12-07T18:01:36.172446,470,470,200,3000,50,0,0.3,5,20,True,36322.0,21500.0,40.8072242717912,571,622,4.613019227981567,0.006110315571658614,Batch (Auto EAX/OX),OX (Order Crossover),True,29,
TSPJ_8M,Medium,Batch_01,2025-12-07T18:01:44.103009,495,495,200,3000,50,0,0.3,5,20,True,37783.0,18959.0,49.82134822539237,1068,1119,7.886085033416748,0.006302291064400718,Batch (Auto EAX/OX),OX (Order Crossover),True,32,
TSPJ_9M,Medium,Batch_01,2025-12-07T18:01:49.511711,418,418,200,3000,50,0,0.3,5,20,True,31779.0,16919.0,46.76043928380377,794,845,5.366596221923828,0.005372932499999998,Batch (Auto EAX/OX),OX (Order Crossover),True,6,
TSPJ_10M,Medium,Batch_01,2025-12-07T18:01:56.900598,475,475,200,3000,50,0,0.3,5,20,True,38694.0,19425.0,49.79841835943557,1007,1058,7.348894119262695,0.006130801333964053,Batch (Auto EAX/OX),OX (Order Crossover),True,2,
TSPJ_11M,Medium,Batch_01,2025-12-07T18:02:00.957465,428,428,200,3000,50,0,0.3,5,20,True,34343.0,19689.0,42.66953964417785,507,558,4.025178909301758,0.005728515332136449,Batch (Auto EAX/OX),OX (Order Crossover),True,8,
TSPJ_12M,Medium,Batch_01,2025-12-07T18:02:05.095475,425,425,200,3000,50,0,0.3,5,20,True,34315.0,19407.0,43.44455777356841,536,587,4.0968616008758545,0.005586614112627985,Batch (Auto EAX/OX),OX (Order Crossover),True,2,
TSPJ_13M,Medium,Batch_01,2025-12-07T18:02:09.881978,491,491,200,3000,50,0,0.3,5,20,True,38906.0,22834.0,41.30982367758186,571,622,4.739789724349976,0.0062793168760064385,Batch (Auto EAX/OX),OX (Order Crossover),True,29,
