problem_name,timestamp,num_cities,kernel_type,population_size,num_generations,initial_fitness,final_fitness,improvement,total_time,avg_time_per_gen,init_time,fitness_time,crossover_time,mutation_time,problem_type
TSPJ_67M,2025-12-07T15:18:24.924946,412,Original,500,10,34508.1,29300.9,-15.09,1518.0,151.8,492.0,11.7,885.24,63.98,medium
TSPJ_62M,2025-12-07T15:18:26.767721,439,Original,500,10,38436.9,32178.6,-16.28,1598.0,159.8,494.0,12.48,959.48,65.05,medium
TSPJ_56M,2025-12-07T15:18:28.741453,460,Original,500,10,40351.6,34108.8,-15.47,1724.0,172.4,494.0,12.92,1084.9,65.83,medium
TSPJ_57M,2025-12-07T15:18:30.851447,494,Original,500,10,41282.6,35560.0,-13.86,1866.0,186.6,493.0,13.77,1226.94,65.81,medium
TSPJ_70M,2025-12-07T15:18:32.851053,468,Original,500,10,39447.7,32369.4,-17.94,1754.0,175.4,496.0,13.06,1113.1,65.11,medium
TSPJ_68M,2025-12-07T15:18:34.681550,434,Original,500,10,36304.3,31716.1,-12.64,1585.0,158.5,493.0,12.4,948.55,64.93,medium
TSPJ_53M,2025-12-07T15:18:36.491150,429,Original,500,10,37604.8,31767.2,-15.52,1564.0,156.4,493.0,12.23,926.34,65.08,medium
TSPJ_54M,2025-12-07T15:18:38.391545,436,Original,500,10,37454.5,32108.1,-14.27,1655.0,165.5,504.0,12.5,1006.79,65.45,medium
TSPJ_51M,2025-12-07T15:18:40.104691,405,Original,500,10,34930.2,29122.1,-16.63,1468.0,146.8,497.0,11.41,828.83,64.14,medium
TSPJ_59M,2025-12-07T15:18:41.848262,414,Original,500,10,35361.3,30916.8,-12.57,1498.0,149.8,492.0,11.63,864.63,64.21,medium
TSPJ_41M,2025-12-07T15:18:43.798159,452,Original,500,10,39063.2,32962.5,-15.62,1705.0,170.5,494.0,12.98,1065.46,65.4,medium
TSPJ_49M,2025-12-07T15:18:45.721279,452,Original,500,10,40028.8,32284.4,-19.35,1678.0,167.8,496.0,12.8,1038.03,65.14,medium
TSPJ_30M,2025-12-07T15:18:47.553426,427,Original,500,10,36669.8,29986.7,-18.23,1587.0,158.7,501.0,12.13,943.59,64.6,medium
TSPJ_36M,2025-12-07T15:18:49.352121,420,Original,500,10,35353.4,30146.7,-14.73,1553.0,155.3,491.0,11.93,918.64,64.96,medium
TSPJ_42M,2025-12-07T15:18:53.273717,463,Original,500,10,38968.3,32166.3,-17.46,1772.0,177.2,504.0,12.99,1122.84,65.6,medium
TSPJ_45M,2025-12-07T15:18:55.116277,441,Original,500,10,39912.5,34064.7,-14.65,1597.0,159.7,492.0,12.53,961.2,65.0,medium
TSPJ_48M,2025-12-07T15:18:57.007422,442,Original,500,10,38601.5,32365.5,-16.15,1645.0,164.5,498.0,12.62,1004.07,64.94,medium
TSPJ_34M,2025-12-07T15:18:58.920500,447,Original,500,10,38568.5,31720.1,-17.76,1668.0,166.8,494.0,12.61,1028.84,65.64,medium
TSPJ_27M,2025-12-07T15:19:00.883823,455,Original,500,10,39017.7,34141.0,-12.5,1718.0,171.8,492.0,12.83,1081.38,65.34,medium
TSPJ_32M,2025-12-07T15:19:02.854525,461,Original,500,10,39502.6,32495.9,-17.74,1725.0,172.5,498.0,13.04,1081.98,65.29,medium
TSPJ_31M,2025-12-07T15:19:04.572832,403,Original,500,10,34016.1,27793.4,-18.29,1473.0,147.3,498.0,11.42,833.0,64.35,medium
TSPJ_50M,2025-12-07T15:19:06.603517,470,Original,500,10,40376.6,35147.9,-12.95,1786.0,178.6,499.0,13.19,1141.0,65.69,medium
TSPJ_47M,2025-12-07T15:19:08.454626,424,Original,500,10,36128.7,30329.9,-16.05,1600.0,160.0,500.0,12.0,956.18,64.8,medium
TSPJ_29M,2025-12-07T15:19:10.195933,405,Original,500,10,34475.0,28916.0,-16.12,1496.0,149.6,497.0,11.5,858.04,63.93,medium
TSPJ_28M,2025-12-07T15:19:12.117024,446,Original,500,10,38002.0,31624.2,-16.78,1671.0,167.1,502.0,12.43,1025.22,65.17,medium
TSPJ_26M,2025-12-07T15:19:13.971224,428,Original,500,10,37497.2,32131.4,-14.31,1609.0,160.9,496.0,12.21,968.54,65.19,medium
TSPJ_40M,2025-12-07T15:19:15.695330,404,Original,500,10,34772.7,29325.6,-15.67,1479.0,147.9,499.0,11.42,838.09,64.53,medium
TSPJ_46M,2025-12-07T15:19:17.487762,418,Original,500,10,35978.8,30340.1,-15.67,1543.0,154.3,498.0,11.83,901.76,64.53,medium
TSPJ_35M,2025-12-07T15:19:19.442372,452,Original,500,10,37506.4,31266.4,-16.64,1709.0,170.9,497.0,12.75,1067.13,65.59,medium
TSPJ_39M,2025-12-07T15:19:21.419183,458,Original,500,10,39465.9,33120.6,-16.08,1731.0,173.1,508.0,12.96,1077.58,66.02,medium
TSPJ_44M,2025-12-07T15:19:23.375422,460,Original,500,10,40608.7,33892.1,-16.54,1707.0,170.7,500.0,13.03,1060.68,66.01,medium
TSPJ_33M,2025-12-07T15:19:25.465976,481,Original,500,10,41387.9,34661.5,-16.25,1840.0,184.0,498.0,13.68,1193.95,66.68,medium
TSPJ_37M,2025-12-07T15:19:27.636346,496,Original,500,10,41091.8,34778.1,-15.36,1925.0,192.5,527.0,13.98,1248.84,66.92,medium
TSPJ_38M,2025-12-07T15:19:29.681848,465,Original,500,10,41227.7,36721.6,-10.93,1800.0,180.0,495.0,13.16,1158.66,65.82,medium
TSPJ_17M,2025-12-07T15:19:31.630484,459,Original,500,10,40481.1,33713.1,-16.72,1698.0,169.8,498.0,12.98,1054.53,66.0,medium
TSPJ_1M,2025-12-07T15:19:33.461901,423,Original,500,10,34156.9,29861.6,-12.58,1586.0,158.6,493.0,11.88,948.91,65.27,medium
TSPJ_12M,2025-12-07T15:19:35.254576,426,Original,500,10,37105.5,31512.4,-15.07,1547.0,154.7,496.0,12.12,906.29,65.5,medium
TSPJ_23M,2025-12-07T15:19:36.969945,407,Original,500,10,35068.4,30456.3,-13.15,1470.0,147.0,494.0,11.59,834.24,64.22,medium
TSPJ_7M,2025-12-07T15:19:39.026056,471,Original,500,10,39376.3,33873.5,-13.98,1809.0,180.9,499.0,13.42,1162.39,66.44,medium
TSPJ_15M,2025-12-07T15:19:40.987082,457,Original,500,10,39128.3,31901.1,-18.47,1714.0,171.4,499.0,13.13,1068.67,65.85,medium
TSPJ_6M,2025-12-07T15:19:42.757276,417,Original,500,10,34642.6,29696.3,-14.28,1524.0,152.4,495.0,11.8,885.95,65.18,medium
