problem_name,problem_type,batch,timestamp,num_cities,num_jobs,population_size,max_generations,stagnation_limit,mode,mutation_rate,tournament_size,diversity_percent,success,initial_fitness,final_fitness,improvement_percent,solution_generation,total_generations,elapsed_time_seconds,avg_time_per_generation,crossover_method,crossover_type,early_stopped,final_stagnation,error
TSPJ_1M,Medium,Batch_01,2025-12-07T17:56:20.260105,422,422,1000,3000,300,0,0.3,5,20,True,31344.0,31344.0,0.0,0,2926,64.67129135131836,0.02168987788034189,Batch (Auto EAX/OX),OX (Order Crossover),True,275,
TSPJ_2M,Medium,Batch_01,2025-12-07T17:57:24.803389,405,405,1000,3000,300,0,0.3,5,20,True,32972.0,32972.0,0.0,0,3000,64.50523710250854,0.021132212233333315,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_3M,Medium,Batch_01,2025-12-07T17:58:33.473084,453,453,1000,3000,300,0,0.3,5,20,True,34917.0,34917.0,0.0,0,3000,68.63915657997131,0.022501220200000057,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_4M,Medium,Batch_01,2025-12-07T17:59:40.907954,421,421,1000,3000,300,0,0.3,5,20,True,32861.0,32861.0,0.0,0,3000,67.39934802055359,0.02208250696666661,Batch (Auto EAX/OX),OX (Order Crossover),False,14,
