problem_name,timestamp,num_cities,kernel_type,population_size,num_generations,initial_fitness,final_fitness,improvement,total_time,avg_time_per_gen,init_time,fitness_time,crossover_time,mutation_time,problem_type
TSPJ_78M,2025-12-07T15:20:53.545342,404,Original,500,10,36168.4,30812.0,-14.81,1634.0,163.4,613.0,11.48,877.6,63.81,medium
TSPJ_95M,2025-12-07T15:20:55.603026,474,Original,500,10,40763.0,35067.1,-13.97,1808.0,180.8,501.0,13.34,1160.76,66.1,medium
TSPJ_90M,2025-12-07T15:20:57.782873,497,Original,500,10,43337.3,36989.3,-14.65,1934.0,193.4,503.0,13.99,1282.62,66.87,medium
TSPJ_77M,2025-12-07T15:20:59.811694,467,Original,500,10,39500.1,34082.4,-13.72,1779.0,177.9,504.0,13.19,1127.4,66.23,medium
TSPJ_86M,2025-12-07T15:21:01.615303,421,Original,500,10,35704.6,30376.4,-14.92,1558.0,155.8,501.0,11.75,915.04,64.85,medium
TSPJ_99M,2025-12-07T15:21:03.660222,470,Original,500,10,40921.1,34552.1,-15.56,1793.0,179.3,506.0,13.15,1141.09,65.97,medium
TSPJ_85M,2025-12-07T15:21:05.644487,457,Original,500,10,38818.4,32443.8,-16.42,1739.0,173.9,508.0,12.97,1086.18,65.46,medium
TSPJ_76M,2025-12-07T15:21:07.658325,467,Original,500,10,40605.4,35136.9,-13.47,1768.0,176.8,502.0,13.09,1119.72,66.15,medium
TSPJ_80M,2025-12-07T15:21:09.545061,447,Original,500,10,38199.8,31796.0,-16.76,1641.0,164.1,500.0,12.74,995.74,65.81,medium
TSPJ_92M,2025-12-07T15:21:11.526536,459,Original,500,10,39133.8,32886.2,-15.96,1735.0,173.5,495.0,12.93,1096.18,65.47,medium
TSPJ_89M,2025-12-07T15:21:13.307318,413,Original,500,10,35158.9,29697.2,-15.53,1535.0,153.5,500.0,11.75,892.75,64.46,medium
TSPJ_79M,2025-12-07T15:21:15.494949,496,Original,500,10,43176.6,36789.8,-14.79,1938.0,193.8,504.0,13.94,1285.38,66.91,medium
TSPJ_91M,2025-12-07T15:21:17.279064,414,Original,500,10,35997.3,30334.5,-15.73,1538.0,153.8,503.0,11.68,892.63,64.58,medium
TSPJ_83M,2025-12-07T15:21:19.124170,427,Original,500,10,38890.2,32431.2,-16.61,1600.0,160.0,498.0,11.95,959.95,64.34,medium
TSPJ_87M,2025-12-07T15:21:21.205989,486,Original,500,10,40474.8,35065.7,-13.36,1836.0,183.6,493.0,13.54,1195.99,66.33,medium
TSPJ_96M,2025-12-07T15:21:23.028654,425,Original,500,10,37296.7,31900.7,-14.47,1578.0,157.8,499.0,12.04,934.66,65.29,medium
TSPJ_82M,2025-12-07T15:21:24.941935,442,Original,500,10,38282.9,32389.5,-15.39,1668.0,166.8,500.0,12.48,1023.2,65.34,medium
TSPJ_93M,2025-12-07T15:21:26.760290,419,Original,500,10,35833.0,30055.0,-16.12,1573.0,157.3,496.0,11.79,933.7,64.97,medium
TSPJ_98M,2025-12-07T15:21:28.571491,424,Original,500,10,36637.8,30972.8,-15.46,1566.0,156.6,502.0,11.94,920.27,65.17,medium
TSPJ_84M,2025-12-07T15:21:30.486000,442,Original,500,10,39257.3,32020.2,-18.44,1669.0,166.9,500.0,12.5,1023.45,65.52,medium
TSPJ_88M,2025-12-07T15:21:32.282537,421,Original,500,10,34982.0,29754.3,-14.94,1544.0,154.4,499.0,11.89,901.67,65.02,medium
TSPJ_100M,2025-12-07T15:21:34.403677,479,Original,500,10,40585.2,34452.2,-15.11,1875.0,187.5,509.0,13.7,1217.84,66.82,medium
TSPJ_94M,2025-12-07T15:21:36.176983,405,Original,500,10,35911.0,29602.3,-17.57,1528.0,152.8,496.0,11.43,890.47,64.4,medium
TSPJ_81M,2025-12-07T15:21:37.903936,401,Original,500,10,35243.8,30098.7,-14.6,1478.0,147.8,493.0,11.25,844.01,64.22,medium
TSPJ_97M,2025-12-07T15:21:39.967364,475,Original,500,10,41515.1,35644.8,-14.14,1817.0,181.7,499.0,13.41,1171.68,66.12,medium
TSPJ_63M,2025-12-07T15:21:42.029429,480,Original,500,10,41496.3,35480.3,-14.5,1816.0,181.6,495.0,13.73,1174.53,65.85,medium
TSPJ_61M,2025-12-07T15:21:43.939110,444,Original,500,10,37361.4,32088.0,-14.11,1664.0,166.4,500.0,12.49,1019.13,65.31,medium
TSPJ_58M,2025-12-07T15:21:46.060545,486,Original,500,10,42724.0,35966.3,-15.82,1876.0,187.6,505.0,13.56,1223.94,66.37,medium
