problem_name,problem_type,batch,timestamp,num_cities,num_jobs,population_size,max_generations,stagnation_limit,mode,mutation_rate,tournament_size,diversity_percent,success,initial_fitness,final_fitness,improvement_percent,solution_generation,total_generations,elapsed_time_seconds,avg_time_per_generation,crossover_method,crossover_type,early_stopped,final_stagnation,error
TSPJ_1M,Medium,Batch_01,2025-12-08T01:22:44.782366,422,422,1000,6000,500,0,0.3,5,20,True,31334.0,11888.0,62.06038169400651,5103,5604,121.73516798019409,0.021449927110476576,Batch (Auto EAX/OX),OX (Order Crossover),True,497,
TSPJ_2M,Medium,Batch_01,2025-12-08T01:24:32.932733,405,405,1000,6000,500,0,0.3,5,20,True,33263.0,12554.0,62.25836515046749,4585,5086,108.05080914497375,0.020983893628318578,Batch (Auto EAX/OX),OX (Order Crossover),True,415,
TSPJ_3M,Medium,Batch_01,2025-12-08T01:26:43.831811,453,453,1000,6000,500,0,0.3,5,20,True,34554.0,13669.0,60.44162759738381,5278,5779,130.80776071548462,0.02238712310488054,Batch (Auto EAX/OX),OX (Order Crossover),True,422,
TSPJ_4M,Medium,Batch_01,2025-12-08T01:28:12.636485,421,421,1000,6000,500,0,0.3,5,20,True,33295.0,13207.0,60.33338339089953,3541,4042,88.71705722808838,0.021634787948527613,Batch (Auto EAX/OX),OX (Order Crossover),True,459,
TSPJ_5M,Medium,Batch_01,2025-12-08T01:30:35.546620,498,498,1000,6000,500,0,0.3,5,20,True,38427.0,13826.0,64.02009004085669,5953,6000,142.81289744377136,0.02354713888333328,Batch (Auto EAX/OX),OX (Order Crossover),False,432,
TSPJ_6M,Medium,Batch_01,2025-12-08T01:32:41.665081,416,416,1000,6000,500,0,0.3,5,20,True,31572.0,11738.0,62.82148739389333,5376,5877,126.0075294971466,0.02119842614023148,Batch (Auto EAX/OX),OX (Order Crossover),True,424,
TSPJ_7M,Medium,Batch_01,2025-12-08T01:34:42.911177,470,470,1000,6000,500,0,0.3,5,20,True,36010.0,14304.0,60.27770063871147,4748,5249,121.15821957588196,0.022817062328506176,Batch (Auto EAX/OX),OX (Order Crossover),True,452,
TSPJ_8M,Medium,Batch_01,2025-12-08T01:37:05.655387,495,495,1000,6000,500,0,0.3,5,20,True,37041.0,14069.0,62.017764099241376,5770,6000,142.6454300880432,0.02352076866666661,Batch (Auto EAX/OX),OX (Order Crossover),False,130,
TSPJ_9M,Medium,Batch_01,2025-12-08T01:39:07.905302,418,418,1000,6000,500,0,0.3,5,20,True,31448.0,12616.0,59.88298142966166,5137,5638,122.14048290252686,0.021417900567677818,Batch (Auto EAX/OX),OX (Order Crossover),True,463,
TSPJ_10M,Medium,Batch_01,2025-12-08T01:41:26.956481,475,475,1000,6000,500,0,0.3,5,20,True,37975.0,13828.0,63.586570111915734,5760,6000,138.9501669406891,0.02290661293333329,Batch (Auto EAX/OX),OX (Order Crossover),False,140,
TSPJ_11M,Medium,Batch_01,2025-12-08T01:41:42.527118,428,428,1000,6000,500,0,0.3,5,20,True,3660.0,1278.0,65.08196721311475,170,671,15.532311201095581,0.021798653134328366,Batch (Auto EAX/OX),OX (Order Crossover),True,430,
TSPJ_12M,Medium,Batch_01,2025-12-08T01:42:59.638042,425,425,1000,6000,500,0,0.3,5,20,True,33418.0,13545.0,59.46795140343527,2998,3499,77.02581191062927,0.021667204116638063,Batch (Auto EAX/OX),OX (Order Crossover),True,402,
TSPJ_13M,Medium,Batch_01,2025-12-08T01:45:10.037892,491,491,1000,6000,500,0,0.3,5,20,True,39330.0,14295.0,63.653699466056445,5002,5503,130.29815125465393,0.02340654445656124,Batch (Auto EAX/OX),OX (Order Crossover),True,498,
TSPJ_14M,Medium,Batch_01,2025-12-08T01:47:21.933281,431,431,1000,6000,500,0,0.3,5,20,True,34455.0,13538.0,60.70817007691191,5668,6000,131.79464673995972,0.02172640746666665,Batch (Auto EAX/OX),OX (Order Crossover),False,232,
TSPJ_15M,Medium,Batch_01,2025-12-08T01:47:39.927727,456,456,1000,6000,500,0,0.3,5,20,True,4227.0,1366.0,67.68393659806009,261,762,17.94805097579956,0.022379752431011826,Batch (Auto EAX/OX),OX (Order Crossover),True,439,
TSPJ_16M,Medium,Batch_01,2025-12-08T01:50:00.374346,479,479,1000,6000,500,0,0.3,5,20,True,38032.0,14352.0,62.26335717290703,5873,6000,140.3332793712616,0.02313787416666658,Batch (Auto EAX/OX),OX (Order Crossover),False,100,
TSPJ_17M,Medium,Batch_01,2025-12-08T01:51:43.558059,458,458,1000,6000,500,0,0.3,5,20,True,36735.0,14546.0,60.40288553150946,4009,4510,103.103933095932,0.02256399436682192,Batch (Auto EAX/OX),OX (Order Crossover),True,491,
